Wall time,Step,Value
1741884951.817721,18432,3306.39990234375
1741885009.6972115,45056,5073.625
1741885036.8260784,57344,5662.7001953125
1741885109.5155747,90112,5218.875
1741885118.6153202,94208,4856.5791015625
1741885132.206683,100352,5014.7001953125
1741885141.302092,104448,4510.173828125
1741885167.8344867,116736,4306.33349609375
1741885181.1535847,122880,3817.0625
1741885247.7306244,153600,1993.3507080078125
1741885260.9741137,159744,1853.5
1741885283.0545657,169984,1536.449951171875
1741885318.4941638,186368,722.1400146484375
1741885349.8706574,200704,641.9600219726562
1741885385.160093,217088,618.9099731445312
1741885398.5548544,223232,600.9199829101562
1741885403.019669,225280,599.6300048828125
1741885434.035825,239616,581.8800048828125
1741885457.0962517,249856,612.75
1741885493.777625,266240,625.4600219726562
1741885553.83867,292864,702.6500244140625
1741885604.0691314,315392,651.77001953125
1741885626.921083,325632,557.3800048828125
1741885640.3550315,331776,506.3800048828125
1741885678.760047,350208,518.0599975585938
1741885683.017,352256,520.22998046875
1741885727.8376458,372736,490.45001220703125
1741885750.6456492,382976,536.1799926757812
1741885759.7914217,387072,548.8599853515625
1741885764.3572037,389120,552.25
1741885782.4070685,397312,611.47998046875
1741885819.6331575,413696,628.25
1741885856.7293313,430080,679.8800048828125
1741885861.346104,432128,681.5599975585938
1741885884.626028,442368,702.4000244140625
1741885935.0209658,464896,583.489990234375
1741885962.3648353,477184,621.239990234375
1741885985.40389,487424,599.3800048828125
1741885999.21865,493568,556.489990234375
1741886054.9564261,518144,608.6799926757812
1741886082.3295138,530432,592.8699951171875
1741886105.1092546,540672,596.6099853515625
1741886118.517294,546816,602.030029296875
1741886136.494933,555008,625.3599853515625
1741886154.8109534,563200,609.1199951171875
1741886164.2076874,567296,613.6799926757812
1741886252.3456774,606208,567.7899780273438
1741886275.5904996,616448,654.6199951171875
1741886280.234218,618496,654.8400268554688
1741886303.1058714,628736,693.8400268554688
1741886325.7733407,638976,705.5399780273438
1741886335.185144,643072,773.9000244140625
1741886371.649854,659456,827.97998046875
1741886376.078466,661504,827.97998046875
1741886408.3973043,675840,964.7899780273438
1741886426.284135,684032,967.8599853515625
1741886467.6039245,702464,1106.199951171875
1741886504.0205672,718848,1007.5
1741886578.5407584,751616,997.2999877929688
1741886596.9400358,759808,823.510009765625
1741886624.3690145,772096,790.7999877929688
1741886642.754011,780288,765.8400268554688
1741886651.9742765,784384,789.8400268554688
1741886843.5494165,870400,483.19000244140625
1741886848.041953,872448,483.19000244140625
1741886856.907221,876544,483.19000244140625
1741886884.9127479,888832,594.0700073242188
1741886927.1551661,907264,629.6400146484375
1741886936.3068814,911360,653.47998046875
1741886940.9576685,913408,640.719970703125
1741886954.800171,919552,643.0999755859375
1741886982.1952443,931840,665.5900268554688
1741887023.6018655,950272,660.1599731445312
1741887037.407048,956416,643.8099975585938
1741887042.0158226,958464,640.3499755859375
1741887087.8582933,978944,716.4000244140625
1741887166.368021,1013760,800.010009765625
1741887175.503749,1017856,809.7100219726562
1741887240.0255883,1046528,898.6400146484375
1741887263.4573398,1056768,811.5800170898438
1741887272.7419803,1060864,834.9500122070312
1741887286.733832,1067008,831.780029296875
1741887324.301346,1083392,978.8900146484375
1741887352.8355825,1095680,1073.4300537109375
1741887362.1013138,1099776,1120.9100341796875
1741887376.080998,1105920,1158.739990234375
1741887403.4212177,1118208,1110.3399658203125
1741887425.9708748,1128448,1127.300048828125
1741887472.7491202,1148928,1140.0999755859375
1741887500.6874433,1161216,1211.8199462890625
1741887528.4499793,1173504,1222.3800048828125
1741887546.6142569,1181696,1203.8399658203125
1741887573.9267807,1193984,865.280029296875
1741887583.053115,1198080,878.6500244140625
1741887587.5616457,1200128,875.780029296875
1741887596.9145346,1204224,886.3099975585938
1741887606.2992365,1208320,860.010009765625
1741887611.0078366,1210368,763.4400024414062
1741887634.4287927,1220608,758.8900146484375
1741887639.1490574,1222656,668.8499755859375
1741887680.9655182,1241088,661.0900268554688
1741887708.5737867,1253376,754.280029296875
1741887717.7195437,1257472,808.8900146484375
1741887740.3413951,1267712,830.5700073242188
1741887763.1620388,1277952,853.4199829101562
1741887772.2830822,1282048,834.5499877929688
1741887826.5904448,1306624,946.1400146484375
1741887858.7773693,1320960,987.0399780273438
1741887863.3562987,1323008,990.47998046875
1741887872.4734495,1327104,927.2999877929688
1741887881.4693103,1331200,819.219970703125
1741887885.984697,1333248,762.1199951171875
1741887895.077981,1337344,773.219970703125
1741887949.4635093,1361920,597.1300048828125
1741887963.517073,1368064,584.969970703125
1741887981.9651003,1376256,549.6599731445312
1741887995.8841505,1382400,551.22998046875
1741888009.8163855,1388544,579.7899780273438
1741888028.372924,1396736,590.0599975585938
1741888033.0564272,1398784,599.8200073242188
1741888051.3213375,1406976,619.530029296875
1741888074.1843576,1417216,680.1699829101562
1741888078.775421,1419264,680.1699829101562
1741888124.5920928,1439744,784.0900268554688
1741888142.6354825,1447936,762.6900024414062
1741888156.4659262,1454080,844.2000122070312
1741888192.947571,1470464,853.6099853515625
1741888211.3714037,1478656,843.9600219726562
1741888224.8975594,1484800,843.9600219726562
1741888229.750932,1486848,918.9299926757812
1741888234.2964945,1488896,904.030029296875
1741888265.978887,1503232,977.2899780273438
1741888293.4805984,1515520,1045.050048828125
1741888302.481771,1519616,1045.050048828125
1741888307.0295644,1521664,1045.050048828125
1741888326.1801984,1529856,1015.0800170898438
1741888345.1442344,1538048,1075.8399658203125
1741888359.149835,1544192,1108.6800537109375
1741888363.8745053,1546240,1108.6800537109375
1741888368.5738666,1548288,1108.6800537109375
1741888387.979117,1556480,1186.18994140625
1741888429.6326902,1574912,1312.9100341796875
1741888448.323944,1583104,1244.969970703125
1741888452.9620132,1585152,1230.739990234375
1741888457.6571395,1587200,1231.989990234375
1741888466.7795591,1591296,1237.9200439453125
1741888471.2884634,1593344,1237.9200439453125
1741888498.9205844,1605632,1315.989990234375
1741888517.4641452,1613824,1387.0699462890625
1741888521.9050252,1615872,1387.0699462890625
1741888531.104869,1619968,1466.4200439453125
1741888540.0979397,1624064,1483.02001953125
1741888553.484247,1630208,1483.02001953125
1741888558.0674374,1632256,1550.489990234375
1741888562.836859,1634304,1472.4599609375
1741888567.4707167,1636352,1486.719970703125
1741888581.232952,1642496,1405.56005859375
1741888599.24144,1650688,1329.8199462890625
1741888622.2164483,1660928,1381.1600341796875
1741888626.8059623,1662976,1367.7900390625
1741888631.3798022,1665024,1380.699951171875
