Wall time,Step,Value
1741884951.817721,18432,196.60000610351562
1741885009.6972115,45056,191.0
1741885036.8260784,57344,193.39999389648438
1741885109.5155747,90112,268.75
1741885118.6153202,94208,286.52630615234375
1741885132.206683,100352,285.54998779296875
1741885141.302092,104448,314.7391357421875
1741885167.8344867,116736,368.629638671875
1741885181.1535847,122880,453.71875
1741885247.7306244,153600,685.6493530273438
1741885260.9741137,159744,701.7092895507812
1741885283.0545657,169984,756.8499755859375
1741885318.4941638,186368,906.9199829101562
1741885349.8706574,200704,901.75
1741885385.160093,217088,934.3400268554688
1741885398.5548544,223232,921.6599731445312
1741885403.019669,225280,914.5399780273438
1741885434.035825,239616,903.5
1741885457.0962517,249856,853.739990234375
1741885493.777625,266240,867.1300048828125
1741885553.83867,292864,910.6500244140625
1741885604.0691314,315392,985.6799926757812
1741885626.921083,325632,958.8200073242188
1741885640.3550315,331776,901.6699829101562
1741885678.760047,350208,894.1400146484375
1741885683.017,352256,895.6500244140625
1741885727.8376458,372736,858.6500244140625
1741885750.6456492,382976,940.1699829101562
1741885759.7914217,387072,953.8099975585938
1741885764.3572037,389120,964.25
1741885782.4070685,397312,984.27001953125
1741885819.6331575,413696,1039.56005859375
1741885856.7293313,430080,1101.9100341796875
1741885861.346104,432128,1106.3499755859375
1741885884.6260812,442368,1167.050048828125
1741885935.0209658,464896,1074.3800048828125
1741885962.3648353,477184,1149.6099853515625
1741885985.40389,487424,1141.6600341796875
1741885999.21865,493568,1072.1600341796875
1741886054.9564261,518144,1157.8299560546875
1741886082.3295138,530432,1125.719970703125
1741886105.1093102,540672,1146.5
1741886118.517294,546816,1167.4599609375
1741886136.494933,555008,1213.68994140625
1741886154.8109534,563200,1205.8599853515625
1741886164.2087038,567296,1214.760009765625
1741886252.3456774,606208,1176.300048828125
1741886275.5904996,616448,1204.989990234375
1741886280.234218,618496,1174.5400390625
1741886303.1058714,628736,1156.550048828125
1741886325.7733407,638976,1164.7099609375
1741886335.185144,643072,1158.1199951171875
1741886371.649854,659456,1118.6800537109375
1741886376.078466,661504,1118.6800537109375
1741886408.3973043,675840,1097.010009765625
1741886426.284135,684032,1095.1800537109375
1741886467.6054304,702464,1157.72998046875
1741886504.0205672,718848,1105.0999755859375
1741886578.5407584,751616,1269.0699462890625
1741886596.9400358,759808,1263.280029296875
1741886624.3690145,772096,1255.4100341796875
1741886642.754011,780288,1214.22998046875
1741886651.9742765,784384,1260.6500244140625
1741886711.2178895,811008,1275.8299560546875
1741886843.5494165,870400,999.9400024414062
1741886848.041953,872448,999.9400024414062
1741886856.907221,876544,999.9400024414062
1741886884.9127479,888832,1064.0799560546875
1741886927.1551661,907264,1144.93994140625
1741886936.3068814,911360,1202.6099853515625
1741886940.9576685,913408,1188.3599853515625
1741886954.800171,919552,1197.8900146484375
1741886982.1952443,931840,1242.8399658203125
1741887023.6018655,950272,1252.9000244140625
1741887037.407048,956416,1233.949951171875
1741887042.0158226,958464,1226.4300537109375
1741887087.8582933,978944,1239.510009765625
1741887166.368021,1013760,1262.7099609375
1741887175.503749,1017856,1270.6500244140625
1741887240.0255883,1046528,1298.3199462890625
1741887263.4573398,1056768,1266.3699951171875
1741887272.7419803,1060864,1296.0699462890625
1741887286.733832,1067008,1287.75
1741887324.301346,1083392,1274.780029296875
1741887352.8355825,1095680,1259.239990234375
1741887362.1013138,1099776,1252.6300048828125
1741887376.080998,1105920,1235.949951171875
1741887403.4212177,1118208,1207.3499755859375
1741887425.9708748,1128448,1236.0799560546875
1741887472.7491202,1148928,1246.260009765625
1741887500.6874433,1161216,1251.4200439453125
1741887528.4499793,1173504,1272.2099609375
1741887546.6142569,1181696,1228.2900390625
1741887573.9267807,1193984,1252.9599609375
1741887583.053115,1198080,1304.02001953125
1741887587.5616457,1200128,1304.5400390625
1741887596.9145346,1204224,1335.97998046875
1741887606.2992365,1208320,1306.239990234375
1741887611.0078366,1210368,1267.3900146484375
1741887634.4287927,1220608,1258.989990234375
1741887639.1490574,1222656,1229.780029296875
1741887680.9655182,1241088,1226.5999755859375
1741887708.5737867,1253376,1258.949951171875
1741887717.7195437,1257472,1286.0899658203125
1741887740.3413951,1267712,1279.1600341796875
1741887763.1620388,1277952,1326.8299560546875
1741887772.2830822,1282048,1303.06005859375
1741887826.5904448,1306624,1318.93994140625
1741887858.7773693,1320960,1333.7099609375
1741887863.3562987,1323008,1341.449951171875
1741887872.4734495,1327104,1364.7099609375
1741887881.4693103,1331200,1310.510009765625
1741887885.984697,1333248,1284.0
1741887895.077981,1337344,1312.8199462890625
1741887949.4635093,1361920,1215.449951171875
1741887963.517073,1368064,1224.5799560546875
1741887981.9651003,1376256,1209.9100341796875
1741887995.8841505,1382400,1219.27001953125
1741888009.8163855,1388544,1265.260009765625
1741888028.372924,1396736,1281.949951171875
1741888033.0564272,1398784,1305.489990234375
1741888051.3213375,1406976,1371.0
1741888074.1843576,1417216,1441.5799560546875
1741888078.775421,1419264,1441.5799560546875
1741888124.5920928,1439744,1500.469970703125
1741888142.6354825,1447936,1461.6300048828125
1741888156.4659262,1454080,1485.0799560546875
1741888192.947571,1470464,1507.239990234375
1741888211.3714037,1478656,1492.97998046875
1741888224.8975594,1484800,1492.97998046875
1741888229.750932,1486848,1498.97998046875
1741888234.2964945,1488896,1457.719970703125
1741888265.978887,1503232,1465.010009765625
1741888293.4805984,1515520,1449.1800537109375
1741888302.481771,1519616,1449.1800537109375
1741888307.0295644,1521664,1449.1800537109375
1741888326.1801984,1529856,1409.300048828125
1741888345.1442344,1538048,1381.27001953125
1741888359.149835,1544192,1358.699951171875
1741888363.8745053,1546240,1358.699951171875
1741888368.5738666,1548288,1358.699951171875
1741888387.979117,1556480,1334.949951171875
1741888429.6326902,1574912,1314.8599853515625
1741888448.323944,1583104,1298.3399658203125
1741888452.9620132,1585152,1267.5999755859375
1741888457.6571395,1587200,1260.1099853515625
1741888466.7795591,1591296,1273.27001953125
1741888471.2884634,1593344,1273.27001953125
1741888498.9205844,1605632,1277.9100341796875
1741888517.4641452,1613824,1278.239990234375
1741888521.9050252,1615872,1278.239990234375
1741888531.104869,1619968,1286.449951171875
1741888540.0979397,1624064,1314.239990234375
1741888553.484247,1630208,1314.239990234375
1741888558.0674374,1632256,1297.06005859375
1741888562.836859,1634304,1289.4100341796875
1741888567.4707167,1636352,1325.0899658203125
1741888581.232952,1642496,1283.3900146484375
1741888599.24144,1650688,1267.4300537109375
1741888622.2164483,1660928,1280.0899658203125
1741888626.8059623,1662976,1283.3199462890625
1741888631.3798022,1665024,1310.6800537109375
1741888658.663328,1677312,1354.1500244140625
1741888737.9978828,1712128,1418.1199951171875
1741888756.7021093,1720320,1388.9599609375
1741888765.8404322,1724416,1408.72998046875
1741888788.9354968,1734656,1502.06005859375
1741888898.6167908,1783808,1644.550048828125
1741888907.7839086,1787904,1654.18994140625
1741888931.153779,1798144,1687.4300537109375
1741888940.4886823,1802240,1703.3399658203125
1741888958.5275774,1810432,1718.1700439453125
1741888967.5598612,1814528,1718.1700439453125
1741889004.249753,1830912,1721.510009765625
1741889031.7955205,1843200,1703.800048828125
